CPSC 120,1,1,1000,1115,M,1000,1245,W
BIOL 151,23,12,1430,1545,M W,1430,1730,TH
BIOL 151,23,13,1200,1300,M W F,1300,1600,W
BIOL 151,23,14,1200,1300,M W F,1600,1900,W
BIOL 151,23,15,1200,1300,M W F,830,1130,TH
PHYS 225,24,1,800,900,M W F,N,N,N
PHYS 225,24,2,1100,1200,M W F,N,N,N
PHYS 225,24,3,1730,1845,M W,N,N,N
PHYS 225L,25,1,800,1100,TH,N,N,N
PHYS 225L,25,2,1130,1430,TH,N,N,N
PHYS 225L,25,3,1130,1430,TH,N,N,N
PHYS 225L,25,4,1130,1430,TH,N,N,N
PHYS 225L,25,5,1500,1800,W,N,N,N
PHYS 225L,25,6,1130,1430,TU,N,N,N
PHYS 225L,25,7,1500,1800,TU,N,N,N
PHYS 225L,25,8,1900,2200,TU,N,N,N
PHYS 225L,25,9,800,1100,W,N,N,N
PHYS 226,26,1,900,1000,M W F,N,N,N
PHYS 226,26,2,1730,1845,TU TH,N,N,N
PHYS 226,26,3,1000,1100,M W F,N,N,N
PHYS 226L,27,1,1130,1430,TH,N,N,N
PHYS 226L,27,2,1500,1800,TH,N,N,N
PHYS 226L,27,3,1900,2200,TH,N,N,N
PHYS 226L,27,4,1900,2200,TU,N,N,N
PHYS 226L,27,5,1900,2200,W,N,N,N
PHYS 226L,27,6,800,1100,TH,N,N,N
PHYS 226L,27,7,1130,1430,TU,N,N,N
PHYS 226L,27,8,1500,1800,TU,N,N,N
PHYS 226L,27,9,800,1100,W,N,N,N
ENGL 101,28,1,700,800,M W F,N,N,N
ENGL 101,28,2,700,800,M W F,N,N,N
ENGL 101,28,3,800,900,M W F,N,N,N
ENGL 101,28,4,800,900,M W F,N,N,N
ENGL 101,28,5,800,900,M W F,N,N,N
ENGL 101,28,6,800,900,M W F,N,N,N
ENGL 101,28,7,800,900,M W F,N,N,N
ENGL 101,28,8,800,900,M W F,N,N,N
ENGL 101,28,9,900,1000,M W F,N,N,N
ENGL 101,28,10,900,1000,M W F,N,N,N
ENGL 101,28,11,900,1000,M W F,N,N,N
ENGL 101,28,12,900,1000,M W F,N,N,N
ENGL 101,28,13,900,1000,M W F,N,N,N
ENGL 101,28,14,900,1000,M W F,N,N,N
ENGL 101,28,15,1000,1100,M W F,N,N,N
ENGL 101,28,16,1000,1100,M W F,N,N,N
ENGL 101,28,17,1000,1100,M W F,N,N,N
ENGL 101,28,18,1000,1100,M W F,N,N,N
ENGL 101,28,19,1000,1100,M W F,N,N,N
ENGL 101,28,20,1000,1100,M W F,N,N,N
ENGL 101,28,21,1100,1200,M W F,N,N,N
ENGL 101,28,22,1100,1200,M W F,N,N,N
ENGL 101,28,23,1100,1200,M W F,N,N,N
ENGL 101,28,24,1100,1200,M W F,N,N,N
ENGL 101,28,25,900,1000,M W F,N,N,N
ENGL 101,28,26,1200,1300,F,N,N,N
ENGL 101,28,27,1200,1300,M W F,N,N,N
ENGL 101,28,28,1200,1300,M W F,N,N,N
ENGL 101,28,29,1200,1300,M W F,N,N,N
ENGL 101,28,30,1300,1415,M W,N,N,N
ENGL 101,28,31,1300,1415,M W,N,N,N
ENGL 101,28,32,1300,1415,M W,N,N,N
ENGL 101,28,33,1300,1415,M W,N,N,N
ENGL 101,28,34,1430,1545,TU TH,N,N,N
ENGL 101,28,35,1100,1200,M W F,N,N,N
ENGL 101,28,36,1430,1545,M W,N,N,N
ENGL 101,28,37,1430,1545,M W,N,N,N
ENGL 101,28,38,1430,1545,M W,N,N,N
ENGL 101,28,39,1430,1545,M W,N,N,N
ENGL 101,28,40,1600,1715,M W,N,N,N
ENGL 101,28,41,1600,1715,M W,N,N,N
ENGL 101,28,42,830,945,TU TH,N,N,N
ENGL 101,28,43,830,945,TU TH,N,N,N
ENGL 101,28,44,830,945,TU TH,N,N,N
ENGL 101,28,45,830,945,TU TH,N,N,N
ENGL 101,28,46,830,945,TU TH,N,N,N
ENGL 101,28,47,1000,1115,TU TH,N,N,N
ENGL 101,28,48,1000,1115,TU,N,N,N
ENGL 101,28,49,1000,1115,TU TH,N,N,N
ENGL 101,28,50,1000,1115,TU TH,N,N,N
ENGL 101,28,51,1000,1115,TU TH,N,N,N
ENGL 101,28,52,1000,1115,TU TH,N,N,N
ENGL 101,28,53,1130,1245,TU TH,N,N,N
ENGL 101,28,54,1130,1245,TU TH,N,N,N
ENGL 101,28,55,1130,1245,TU TH,N,N,N
ENGL 101,28,56,1130,1245,TU TH,N,N,N
ENGL 101,28,57,1200,1300,M W F,N,N,N
ENGL 101,28,58,1300,1415,TU TH,N,N,N
ENGL 101,28,59,1300,1415,TU TH,N,N,N
ENGL 101,28,60,1300,1415,TU TH,N,N,N
ENGL 101,28,61,1300,1415,TU TH,N,N,N
ENGL 101,28,62,1430,1545,TU TH,N,N,N
ENGL 101,28,63,1430,1545,TU TH,N,N,N
ENGL 101,28,64,1430,1545,TU TH,N,N,N
ENGL 101,28,65,1430,1545,TU TH,N,N,N
ENGL 101,28,66,1430,1545,TU TH,N,N,N
ENGL 101,28,67,1430,1545,TU TH,N,N,N
ENGL 101,28,68,1600,1715,TU TH,N,N,N
ENGL 101,28,69,1300,1415,M W,N,N,N
ENGL 101,28,70,1300,1415,TU TH,N,N,N
ENGL 101,28,71,800,900,W,N,N,N
ENGL 101,28,72,900,1000,M W F,N,N,N
ENGL 101,28,73,1200,1300,M W F,N,N,N
ENGL 101,28,74,1000,1115,TU TH,N,N,N
ENGL 101,28,75,1600,1715,TU TH,N,N,N
ENGL 101,28,76,1600,1715,TU TH,N,N,N
ENGL 101,28,77,900,1000,M W F,N,N,N
ENGL 101,28,78,900,1000,M W F,N,N,N
ENGL 101,28,79,1000,1100,M W F,N,N,N
ENGL 101,28,80,1430,1545,M W,N,N,N
MATH 150A,29,1,700,900,TU TH,N,N,N
MATH 150A,29,2,800,1000,M W,N,N,N
MATH 150A,29,3,900,1100,TU TH,N,N,N
MATH 150A,29,4,900,1300,SA,N,N,N
MATH 150A,29,5,900,1100,TU TH,N,N,N
MATH 150A,29,6,1000,1300,M W,N,N,N
MATH 150A,29,7,1100,1300,TU TH,N,N,N
MATH 150A,29,8,1100,1300,TU TH,N,N,N
MATH 150A,29,9,1200,1400,M W,N,N,N
MATH 150A,29,10,1300,1500,M W,N,N,N
MATH 150A,29,11,1300,1500,TU TH,N,N,N
MATH 150A,29,12,1400,1600,M W,N,N,N
MATH 150A,29,13,1500,1700,TU TH,N,N,N
MATH 150A,29,14,900,1100,TU TH,N,N,N
MATH 150B,30,1,700,900,TU TH,N,N,N
MATH 150B,30,2,800,900,M W F,N,N,N
MATH 150B,30,3,800,1000,M W,N,N,N
MATH 150B,30,4,900,1100,TU TH,N,N,N
MATH 150B,30,5,1000,1100,M T W F,N,N,N
MATH 150B,30,6,1100,1200,M T W F,N,N,N
MATH 150B,30,7,1100,1300,TU TH,N,N,N
MATH 150B,30,8,1430,1630,M W,N,N,N
MATH 150B,30,9,1430,1630,TU TH,N,N,N
MATH 150B,30,10,1600,1800,TU TH,N,N,N
MATH 150B,30,11,1730,1930,M W,N,N,N
MATH 150B,30,12,1730,1930,TU TH,N,N,N
MATH 150B,30,13,1100,1300,TU TH,N,N,N
